Fecha,m,y,i,p,remes,tc
ago-00,157692.618000 ,81.190700 ,15.230000 ,46.719785 ,608.061200 ,9.270900 
sep-00,161376.238000 ,80.164900 ,15.060000 ,47.061072 ,568.549300 ,9.354000 
oct-00,162822.860000 ,80.809600 ,15.880000 ,47.385136 ,559.523500 ,9.531400 
nov-00,175112.072000 ,80.916200 ,17.560000 ,47.790288 ,583.121800 ,9.500400 
dic-00,208879.867000 ,79.498300 ,17.050000 ,48.307671 ,666.848500 ,9.465900 
ene-01,181718.698000 ,79.423500 ,17.890000 ,48.575476 ,654.982000 ,9.776600 
feb-01,175896.436000 ,76.419300 ,17.340000 ,48.543328 ,637.673700 ,9.704500 
mar-01,176028.084000 ,80.767900 ,15.800000 ,48.850888 ,718.055000 ,9.600600 
abr-01,174570.670000 ,77.531200 ,14.960000 ,49.097309 ,734.805800 ,9.326800 
may-01,178269.919000 ,81.784100 ,11.950000 ,49.209970 ,798.243800 ,9.137200 
jun-01,180702.903000 ,80.607000 ,9.430000 ,49.326364 ,747.837000 ,9.086700 
jul-01,178256.186000 ,79.325300 ,9.390000 ,49.198202 ,796.595100 ,9.161800 
ago-01,178960.066000 ,80.587000 ,7.510000 ,49.489688 ,789.307500 ,9.130700 
sep-01,182150.763000 ,78.269600 ,9.320000 ,49.950381 ,772.080300 ,9.418900 
oct-01,181038.815000 ,79.973600 ,8.360000 ,50.176135 ,792.829500 ,9.345000 
nov-01,193892.127000 ,80.093900 ,7.430000 ,50.365149 ,693.822400 ,9.223600 
dic-01,225222.732000 ,79.092500 ,6.290000 ,50.434899 ,759.031800 ,9.156100 
ene-02,206861.996000 ,77.386300 ,6.970000 ,50.900472 ,711.043000 ,9.161600 
feb-02,202219.512000 ,75.109300 ,7.910000 ,50.867750 ,718.865000 ,9.099800 
mar-02,215888.760000 ,77.122300 ,7.230000 ,51.127948 ,744.527000 ,9.070700 
abr-02,201136.312000 ,80.830200 ,5.760000 ,51.407235 ,805.872000 ,9.162900 
may-02,209329.007000 ,82.069900 ,6.610000 ,51.511429 ,912.205000 ,9.519200 
jun-02,211830.242000 ,79.721300 ,7.300000 ,51.762586 ,860.003000 ,9.765200 
jul-02,209417.287000 ,79.927200 ,7.380000 ,51.911181 ,843.073800 ,9.780800 
ago-02,210266.104000 ,80.305800 ,6.680000 ,52.108560 ,849.137600 ,9.839600 
sep-02,210993.609000 ,78.380200 ,7.340000 ,52.421984 ,860.599700 ,10.071400 
oct-02,213941.744000 ,81.607700 ,7.660000 ,52.653036 ,848.283000 ,10.095000 
nov-02,227456.663000 ,80.095200 ,7.300000 ,53.078877 ,741.438000 ,10.197500 
dic-02,263936.897000 ,80.490500 ,6.880000 ,53.309930 ,919.401000 ,10.224900 
ene-03,246101.980000 ,79.272400 ,8.270000 ,53.525441 ,1051.254700 ,10.620300 
feb-03,241402.098000 ,77.175500 ,9.040000 ,53.674122 ,979.759700 ,10.937200 
mar-03,237849.553000 ,80.339800 ,9.170000 ,54.012930 ,1139.112400 ,10.912400 
abr-03,243730.756000 ,79.950900 ,7.860000 ,54.105144 ,1202.509700 ,10.591700 
may-03,246356.274000 ,82.288400 ,5.250000 ,53.930560 ,1350.966900 ,10.251200 
jun-03,240017.485000 ,81.443400 ,5.200000 ,53.975112 ,1351.170700 ,10.504700 
jul-03,242514.288000 ,80.935700 ,4.570000 ,54.053339 ,1361.362000 ,10.450200 
ago-03,242435.364000 ,79.419900 ,4.450000 ,54.215490 ,1401.246200 ,10.781100 
sep-03,238702.501000 ,79.188800 ,4.730000 ,54.538238 ,1365.508500 ,10.926900 
oct-03,247925.945000 ,81.879100 ,5.110000 ,54.738207 ,1391.011200 ,11.174800 
nov-03,260002.337000 ,80.634500 ,4.990000 ,55.192542 ,1203.708400 ,11.145000 
dic-03,303614.089000 ,83.330300 ,6.060000 ,55.429811 ,1341.076100 ,11.248600 
ene-04,278373.115000 ,80.930100 ,4.950000 ,55.774317 ,1081.863500 ,10.915100 
feb-04,273567.978000 ,79.193900 ,5.570000 ,56.107945 ,1171.773700 ,11.014200 
mar-04,267424.553000 ,84.927900 ,6.280000 ,56.298071 ,1480.224000 ,11.009400 
abr-04,273090.802000 ,82.936200 ,5.980000 ,56.383032 ,1513.515100 ,11.275100 
may-04,276652.472000 ,85.239100 ,6.590000 ,56.241603 ,1770.397800 ,11.512400 
jun-04,278847.001000 ,85.620900 ,6.570000 ,56.331745 ,1684.724800 ,11.389400 
jul-04,281999.486000 ,82.940200 ,6.810000 ,56.479390 ,1654.376000 ,11.463600 
ago-04,277136.443000 ,83.132400 ,7.210000 ,56.828041 ,1786.807800 ,11.394200 
sep-04,280788.968000 ,82.197500 ,7.360000 ,57.297917 ,1586.840700 ,11.486400 
oct-04,285219.272000 ,84.362600 ,7.760000 ,57.694747 ,1529.947700 ,11.398300 
nov-04,294824.968000 ,85.941500 ,8.200000 ,58.186899 ,1506.164400 ,11.368100 
dic-04,340177.672000 ,86.230500 ,8.500000 ,58.307088 ,1565.112300 ,11.204100 
ene-05,316646.595000 ,82.258400 ,8.600000 ,58.309160 ,1367.556300 ,11.260700 
feb-05,307241.459000 ,80.899500 ,9.150000 ,58.503431 ,1428.377000 ,11.136700 
mar-05,311855.795000 ,83.626400 ,9.410000 ,58.767121 ,1691.589600 ,11.142700 
abr-05,306993.402000 ,86.593700 ,9.630000 ,58.976415 ,1753.303200 ,11.116300 
may-05,307690.103000 ,87.888900 ,9.750000 ,58.828251 ,2057.277300 ,10.973300 
jun-05,314148.930000 ,86.352100 ,9.630000 ,58.771783 ,1923.280200 ,10.822800 
jul-05,315321.675000 ,83.784200 ,9.610000 ,59.001800 ,1840.300600 ,10.678100 
ago-05,306032.898000 ,86.431200 ,9.600000 ,59.072255 ,2059.222900 ,10.688200 
sep-05,312474.667000 ,84.642500 ,9.210000 ,59.309006 ,1885.990500 ,10.777500 
oct-05,316469.239000 ,86.853100 ,8.910000 ,59.454580 ,1862.277600 ,10.832400 
nov-05,327169.713000 ,88.657300 ,8.710000 ,59.882493 ,1886.953800 ,10.668500 
dic-05,380033.691000 ,89.151100 ,8.220000 ,60.250312 ,1932.142000 ,10.629500 
ene-06,354740.855000 ,87.045600 ,7.880000 ,60.603626 ,1758.305700 ,10.547000 
feb-06,346431.301000 ,84.083000 ,7.610000 ,60.696358 ,1823.189800 ,10.483300 
mar-06,353043.830000 ,89.540100 ,7.370000 ,60.772512 ,2152.836200 ,10.746800 
abr-06,357800.129000 ,87.102500 ,7.170000 ,60.861617 ,2072.701700 ,11.042100 
may-06,358023.879000 ,93.139400 ,7.020000 ,60.590675 ,2534.599000 ,11.092300 
jun-06,369072.338000 ,91.368600 ,7.020000 ,60.642998 ,2340.262300 ,11.391300 
jul-06,368681.007000 ,88.358900 ,7.030000 ,60.809294 ,2191.646900 ,10.985800 
ago-06,363431.699000 ,90.246200 ,7.030000 ,61.119609 ,2334.283500 ,10.872000 
sep-06,367139.801000 ,87.869100 ,7.060000 ,61.736612 ,2140.958600 ,10.985300 
